SMILES,Activity_Flag
OC=1C=2C3=C4[C@H](N(CCC4=CC(=C3)C5=CC=C(O)C=C5)C)CC2C=CC1O,1
C=1C(=C(C=CC1)N2CCN(C3CCC(CC3)NC(NC=4C=CC=C(C4)Cl)=O)CC2)OC(C)C,1
C1=2C(C(C=3C=CC(=CC3)F)CC1N4CCN(CC4)C)=CC=C(C2)Cl,1
O(C(=O)N1CCC(CC1)C(=O)N[C@@H](CCC(OC(C)(C)C)=O)C=2OC(=NN2)[C@@H](N(C)C)COC(C)(C)C)C(C)(C)C,0
C=12C(=CC(=C(C1)O)O)CCC(N(C)C)C2,1
C=12C=3O[C@@H](CNCC=4C=CC=CC4)CCC3C=CC1NC(=C2)O,1
C1N(CCCCNC(C=2C=CC(=CC2)OCCOCCOCCF)=O)CCN(C=3C(=CC=CC3)OCCF)C1,1
C=1C=C([C@@H](O)CNCCC2=CC=CC(=C2)CNCC3=CC=CC=C3F)C=4SC(=NC4C1O)O,1
ClC1=C2C=3[C@@H](N(CC2)C)CC4=C(C3C(OC)=C1O)C=C(OC)C(O)=C4,1
O1C(C=2OC(NCC3=CC=CN=C3)=C(N2)C#N)=CC=C1COC4=CC=CC=C4,0
OC=1C=C2CCN(CCC=3C(CC2=CC1O)=CC=CC3)C,1
[C@@H]12C3=C(C=CC=C3CCN1CCC)C=4C(C2)=C(C=CC4OC)OC,1
N1(C(=NN=C1C2=C(N=CO2)C)SCCCN[C@H]3CC[C@]4(C3C4)C5=CC=C(C=C5)C(F)(F)F)C,1
FC(F)(F)C=1C=C(CC(OCC(=O)NC=2C=C3OCCOC3=CC2)=O)C=CC1,0
S1C=2N=C(N=C(N3CCC(CC3)C(=O)N)C2C(=C1C)C)CN4CCOCC4,0
OC=1C=C2C[C@H](N(CCN3CCN(CC3)C4=CC=CC=C4)CCC)CCC2=CC1,1
N1(C2=C(OC)C=CC=C2)CCN(CC1)CCCCNC(C=3C=CC(=CC3)I)=O,1
ClC(Cl)=C(N1C(CCCC1C)C)C(N(=O)=O)=C2SCCS2,0
O(C(=O)C=1C(NC2=CC=CC=C2)=CC=CC1)CC(=O)NC3=CC=C(C=C3)C(=O)N,0
S(=O)(=O)(NC)C=1C=C(C=CC1)C(OCC(=O)NCCCC2=CC=CC=C2)=O,0
[C@H]12N(CC[C@H]1CC=3C(O)=CC=CC3C2)CC=C,1
O(C=1C(N2CCN(CC2)CC3=CC(OC)=C(OCC=4N=NN(CCCC)C4)C=C3)=CC=CC1)C,1
C1(=NSC=2C1=CC=CC2)N3CCN(CC3)CCCN4C(=C5C=CC=CC5=C4)O,1
C1(N2CCN(CC2)C)C=3C=C(C=CC3SC4=C(C=CC=C4)C1)C=5C=NN(C5)C,1
C12=C3NCCC3=CC=C1CCC(C2)N(CCC)CCC,1
O1C(CCC1)C(=O)NC=2C=CC(C(=O)NC(CC)C)=CC2,0
O(CCCNC(=O)C=1C2=C(C(=O)N(C1)C3=CC(OC)=CC=C3)C=CC=C2)C(C)C,0
N12C(=NC3=C1C(=CC=C3)CC(C2)N(CC4=CC=CC=C4)CCC)O,1
S(C=1N(C=2C(N1)=CC=NC2)CC(=O)NC=3C=C(C(=CC3)C)C)CC4=C(C=CC(=C4)C)C,0
ClC=1C=C(CN(C2C=S(O)(O)=CC2)C(=O)/C=C/C3=CC=CC=C3)C=CC1,0
O(/N=C(\CCN1CCN(CC1)C2=NC=CC=C2)/C3=CC(=C(C=C3)C)C)C,1
O=C(NC1=CC(=CC=C1)C)CC2CCC2,0
S(C(=S)N1CCCCC1)CC(=O)NC2=NC=3CC(CC(=O)C3C=N2)(C)C,0
FC1=CC=C(CN2C(C=CCN(CC2=O)CC=3OC=CC3)C4=CC=C(OC)C=C4)C=C1,0
ClC1=CC=C(C(=O)C2=CN(C=3N=C(C=CC3C2=O)C)CC(=O)NC4=CC=C(C=C4)C(OCC)=O)C=C1,0
S(=O)(=O)(N(CCN(C)C)CC1=CC=CC=C1)C2=CC=3N(C(=O)C(=O)N(C3C=C2)C)C,0
O(C=1C(N2CCN(CC2)CCCNC(=O)C=3C=CC(=CC3)COCCOCC)=CC=CC1)C,1
CN1CCN(CCN2CCN(CC2)C3CC(C4=CC=C(C=C4)F)C=5C=CC(=CC53)F)C1=O,1
O1CCN(CC2CCN(CC2)C(=O)NC=3C=C(C=C(C3)C)C)CC1,0
S(C=1N(CC2OCCC2)C(=NN1)C3C=CC(=O)C=C3)CC(=O)C4=CC=C(NC(=O)CC)C=C4,0
ClC=1C(C2N3NC(=NC3=NC(=C2C(=O)NC=4C=CC=NC4)C)C5=C(OC)C=CC=C5)=CC=CC1,0
OC(=NN=CC=1C=CC(O)=CC1)C2=CC=3N=C(N(C3C=C2)CC)C,0
S1C(C(=O)N2CCN(CC2)C=3N=CC=CN3)=C(/N=C/N(C)C)C4=C1N=C(C=C4C)C,0
ClC=1C(C(=O)NC(C2CC2)C)=CC(=C(Cl)C1)C,0
N1(C2=C(OC)C=CC=C2)CCN(CCCCNC(C3(C4=CC=C(C=C4)Cl)CCCC3)=O)CC1,1
ClC1=CC=2C(=C(S(=O)(=O)NCCCCN3CCC(CC3)C4=NOC=5C4=CC=C(F)C5)SC2C=C1)C,1
[C@@H]12C3=C(C=CC=C3CCN1C)C4=C(C2)C=CC(C(=O)C)=C4OC,1
ClC1=C(N2CCN(CC2)CCCCOC=3C=C4N=CC=CC4=CC3)C=CC=C1Cl,1
[N+]1(=C2C(C3CCCC(C3CC2)O)=CC=C1)CC,1
FC1=CC2=C3[C@H](N(CC2)CCC)CC4=C(C3=C1)C=5OCOC5C=C4,1
C12(C=3C(=CC=CC3)CCC1)CCN(CC2)CC4=CC=CC=C4,1
[N+]1=2C(C3=C(C=C4C(=C3)OCO4)CC1)=CC5=CC=C(C(=C5C2)OC)OC,1
OC(=O)C=1N(C(C2=CC=CC=C2)C)C=NC1,0
N1C2=C(C=C(C=C2)CN3CCN(CC3)C=4C=C(C)C(=CC4)C)OCC1=O,1
O(C(=O)CCC1=CC(OC)=C(OC)C(OC)=C1)CN2N=NC3=C(C2=O)C=CC=C3,0
FC1=CC=C([C@H](O)CCCN2CCN(CC2)C3=NC=CC=C3)C=C1,1
C1(=NC2=C(C=CC(=C2)Cl)N(NC(CCCCC(NN3C=4C(C(=NC5=C3C=CC(=C5)Cl)N6CCN(CC6)C)=CC=CC4)=O)=O)C7=C1C=CC=C7)N8CCN(CC8)C,1
S(CC(=O)N1CCCCC1)C=2N(CCC)C(=NN2)C=3OC=CC3,0
OC=1C2=C3C(N(CCC3=CC1O)C)CC=4C2=CC=CC4,1
O(C1=C(C(C)C)C=CC(=C1)C)CC(=O)NN2C(=O)C3=C(NC2=O)C=CC=C3,0
S(CCC(N1C(=O)C=2C(C1=O)=CC=C(C2)C(O)=O)C(=O)O)C,0
ClC=1C(=CC(C=2OC(=CC2)/C=C(/C(=O)NC3=CC=C(OC)C=C3)\C#N)=CC1)C(=O)O,0
O(C(=O)N1CCN(CC1)C=2C=CC(NC(=O)C=3OC=CC3)=CC2)C(C)(C)C,0
N1(C[C@H](C=2C=C(C#N)C=CC2)CCC1)CC3CC3,1
C=1C=C(C=C(OC)C1)[C@@H]2CC[C@H](N3CCN(CC3)C4=C5C(=CC=C4)C=CC=C5)CC2,1
C1(=CNC=2C1=CC=CC2)[C@H]3CC[C@@H](CC3)CCN4CCN(CC4)C=5C=CC=CC5,1
ClC1=C2C(=C(C=3C1=CC=CC3)/C=N/N4CCN(CC4)C)C=CC=C2,0
O=C(NC1=C(C=C(C=C1)C)C)C2C(N3C(N=C2C)=NC=4C3=CC=CC4)C5=CC(OC)=C(OC)C(OC)=C5,0
ClC1=CC=C(CCNC(=O)CCC=2N(CC3=CC=CC=C3)C4=NC=CC=C4N2)C=C1,0
O(C=1C(NC(=O)NC=2C=C(OC)C=CC2)=CC(C=3N=C4N(C3)C=CC=N4)=CC1)C,0
N1(C2(CCN(CC=3C4=CC=CC=C4OC3)CC2)C(N(C1)CCF)=O)C5=CC=CC=C5,1
S(C=1N(C(=CN1)CO)C)CC(=O)C=2C=CC(F)=CC2,0
ClC1=C(C(C2=C(Cl)C=C(N(CCO)CCO)C=C2)C=3C(Cl)=CC=CC3)C=CC(N(CCO)CCO)=C1,0
C1(N(C=2C=CC(=CC2S1)CCCCN3CCN(CC3)CC4=C(C=C(C=C4)Cl)Cl)C)=O,1
C1C(N2C=3C(N=C2O)=CC=CC3)CCN(CCCN4C(=O)CCC5=C4C=NC=C5)C1,1
FC1=CC=C(N2CCN(CC2)C(=O)CN3N=CC=4C(N=C5C4C=CC=C5)=C3O)C=C1,0
C12=C(C3=CC=CC=C3N1)CN(CC2C4=CC=CC=C4)CCCCC=5C=CN=CC5,1
C=12C(=C(C=C(N1)C)C)C(=C(S2)C(=O)NCCCN3CCC(CC3)(O)C=4C=CC(=CC4)Cl)N,1
BrC1=CC(N(=O)=O)=C(NC(=O)CN2CCC(CC2)C)C=C1,0
O=C1NCN(C12CCN(CC2)CC3OC=4C(OC3)=CC=C5NC(=CC45)C(OCCCC)=O)C6=CC=CC=C6,1
S(=O)(=O)(NC1CCC(CC1)CCN2CCC(OC=3C=C(C=CC3)C(F)(F)F)CC2)C4=CC=CN=C4,1
S(C1=NC=2CCCC2C=C1C#N)CC(=O)NC=3C=CC(S(=O)(=O)NC=4ON=C(C4C)C)=CC3,0
ClC(Cl)C(NC(=O)N1CCN(CC1)C)C2=CC(F)=C(C=C2)C,0
N1(C=C(N=N1)CCCCN2CCN(CC2)C=3C=CC=CC3OC)CCCOC4=CC=CC5=C4C6=CC=CC=7CCN(C(C76)C5)CCC,1
S(=O)(=O)(NCC(=O)N(C(C(C)C)C(=O)NCC1OCCC1)CC2=CC=CC=C2)C3=CC=CC=C3,0
C1C2=C(CC[C@@H]1N(CCC)CCN3CCN(CC3)C4=CC=C(C=C4)C=5C=C(C=CC5)O)N=C(S2)N,1
S=C(N(CCN1CCCCC1)CC=2OC=CC2)NC3=C(C=CC=C3)C,0
C1CN(CCCCCCN2CCN(CC2)C3=CC=CC(=C3)Cl)CCN1C4=CC=CC(=C4)Cl,1
S=C(NN1CCOCC1)NC=2C=C(F)C=C(F)C2,0
ClC1=CC=2N(C(=O)N3CCC(CC3)C(=O)N4CCN(CC4)C5=CC=CC=C5)CC(OC2C=C1)C,0
O=C(N(CC1=CC=CC=C1)C)C=2NC=NC2C(=O)N(CC3=CC=CC=C3)C,0
O=C(C1CCCN(C1)CC2=NC=CC=C2)C3=C4C5=C(CCC5=CC=C4)C=C3,0
S1C(=NC(C2=CC(=C(C=C2)C)C)=C1)C3=CC4=C(OC3=O)C=CC(OC)=C4,0
[C@@H]12CC[C@@H](N1CCCOC3=CC=C(C=C3)F)CC(O)(C4=CC=C(C=C4)Cl)C2,1
C12=C(C(N3CCN(CC3)CCN4C(NCC4)=S)CC1C5=CC=C(C=C5)F)C=CC(=C2)F,1
C1=CC=C2CN(CC2=C1)CCN3CCN(C3=O)C4=CC(=C(C=C4)Cl)Cl,1
C1=2O[C@H](CNCC3=CC=CC=C3)CCC1=CC=C(C2)O,1
C1N(CCN(C1)CCC)C2=CC(=CC=C2)C#N,1
ClC1=C(OCC(=O)NC2=CC=C(C3=NN=C(N4CCOCC4)C=C3)C=C2)C=CC(Cl)=C1,0
O1C(CCC1)C(=O)NC=2C(=CC=C(C2)C(OC)=O)C(OC)=O,0
ClC1=CC=C(N2N=C3C(=C2NC(=O)C(=O)NCC(O)C)CSC3)C=C1,0
O(C=1C2=C3C(N(CCC3=CC1OC)C)CC=4C2=CC=CC4)C,1
C1=2C(=NC=3C=C(Cl)C=CC3NC1=NN(C2)CCCCCCCCCC)N4CCN(CC4)C,1
FC(F)(F)C=1C=C(NC(=O)CN2C(O)(C(OC2=O)(C)C)C)C=CC1,0
ClC=1C=C(NC2=C(N(=O)=O)C=C(S(=O)(=O)N3CCCCC3)C=C2)C=CC1OC,0
BrC=1N(CCCO)C2=C(N(C(=O)NC2=O)C)N1,0
C=12OCCCC1C=CC=C2OCCNCCCCC3=CC=C(C=C3)OC,1
O1C2=C(OCC1)C=C3OC(=O)C=C(C3=C2)C,0
S1C=2N=CN(C(=O)C2C(C3=CC=C(OC)C=C3)=C1)CC(OCCC)=O,0
S1C(CCNC2CCC3=NNC=C3C2)=CC=C1,1
C12=C(NC(C1)=O)C(Cl)=CC=C2OCCNC3=CC=4C=CC=CC4C=C3,1
[C@@H]12N([C@@H](CC1)C[C@](O)(C3=CC=C(C=C3)F)C2)CC4=COC=5C4=CC=CC5,1
BrC=1C(=CC(NC(=O)C2CCCN(C2)C=3SC4=C(N3)C=CC(OCC)=C4)=CC1)C,0
O(C=1C(N2CCN(CC2)CCCCNC(=O)C3=C4N(N=C3)C=CC(OCCOCC)=C4)=CC=CC1)C,1
O1C2=C(N3CCN(CC3)CCCCCC=4C=5C(NC4)=CC=CC5)C=CC=C2OCC1,1
[C@H]12N(CCC3=C1C(C=4C(C2)=CC=C(C4O)O)=CC=C3)C(C)C,1
BrC1=C(OC)C=C(COC(=O)C2=NC=C(N=C2)C)C(OC)=C1,0
ClC1=C(ON=C1C)C(=O)NCC2=CC=C(OC)C=C2,0
ClC1=C(N2CCN(CC2)C/C=C/CNC(=O)C3=C(OC)C=CC=C3)C=CC=C1Cl,1
C([C@H]1COC=2C3=C(C=CC2O1)NC(=O)C3)NCCC4CC=5NC=6C(C5CC4)=CC(=CC6)F,1
S(=O)(=O)(NC(COC)C)C1=CC=C(OC)C=C1,0
C=12C3C(N(CCC)CCC3)CCC1C(O)=CC=C2,1
ClC=1N=CC(C2C3(CC4([C@@H]2CN([C@@H]4C5=CC=CC=C5)CC6=CC=C(C=C6)C7=CC=CC=C7)C3)C=8C=C(C=CC8)C(OC)=O)=CC1,0
N1(C=2N=CC=CC2)CCN(CC1)CC/C=C\3/C4=C(C(OC)=CC=C4)CCC3,1
N1(C(CN2CCN(CC2)CC=3C=CC(=CC3)Cl)=O)C4=C(C=CC=C4)C(C1)C,1
O1[C@H]2[C@H](N(CC1)CCC)CCC=3C2=CC(O)=CC3,1
C12=C(C(Cl)=C(C(=C1)O)O)CCNCC2C3=CC=C(C=C3)O,1
N1(C2=NC=CC=C2)CCN(CC1)CCCC=3C=4C(=CC(=CC4)OC)CCC3,1
C(OC1CCN(CC1)CCCC(C2=CC=C(C(C)(C)C)C=C2)=O)(C3=CC=CC=C3)C4=CC=CC=C4,1
O1C(CNC(=O)CN2N=C(N=N2)C3=CC=C(NC(=O)C=4C=CC(OC)=CC4)C=C3)=CC=C1,0
S=1(O)(O)=CC(N(CC)C(=O)COC(=O)C2=CC(S(=O)(=O)N3CCC=4C3=CC=CC4)=CC=C2OC)CC1,0
S(=O)(=O)(N1C(CCCC1)C(OCC)=O)C2=CC=3CC(N(C(=O)C4CCC4)C3C=C2)C,0
S=C(NNC(=O)CCN1CCOCC1)NC(=O)C=2C=CC=CC2,0
C1(=NOC2=C1C=CC=C2)C(N(CCCCN3CCN(C=4C5=C(C=C(C=C5)F)SC4)CC3)C)=O,1
BrC1=CC=C(S(O)=CC=2OC(C(=O)NCCN3CCN(CC3)CC)=CC2)C=C1,0
O=C(N/N=C/C1=C(OC)C=CC=C1)C2=NNC(C2)(C3=CC=CC=C3)C4=CC=CC=C4,0
FC(F)(F)C1(N(C2CC1C=C2)C(=O)C=3OC=CC3)C(F)(F)F,0
C=12C(=C(Cl)C(=C(C1)O)O)CCN(CC2C3=CC=C(C=C3)O)CC=C,1
O([C@@]1(C2=C3C=4[C@H](N(CCC4C=C2)C)CC5=C3C1=CC=C5)CC)CC,1
C1[C@]2(C3=CC=C(C=C3)C(F)(F)F)[C@H](CN1CCCSC=4N(C)C(C5=NC=C(N=C5)C)=NN4)C2,1
O=C1N(N=C(N1C2=CC=CC=C2)C)CC3CC3,0
O=C(NC=1C=C(/N=N/N(CC)CC)C=CC1)C,0
ClC1=C(S(=O)(=O)N2CCNC(=O)C2)C=C(Cl)C=C1,0
O(C(OCC)CNC(=O)C=1C=CC(CNC(=O)C2=CC(OC)=C(OC)C=C2)=CC1)CC,0
ClC=1C=C(N2C(=O)N(CCN(CC34C(C(CC3)CC4)(C)C)C)CC2)C=CC1,1
N1(C2CC3=C(C=4C2=C(C=C(C4OC)OC)CC1)C=C5C(=C3)OCO5)C,1
S(=O)(=O)(N1CCN(CC1)C2=CC(OC)=CC=C2)C3=CC=4NC(=NC4C=C3)C=5C=CC=CC5,0
S(=O)(=O)(C1=CC=2SC(NC(=O)C(C)C)=NC2C=C1)C,0
O1C(=C(C=2C1=CC=CC2)C)C(=O)N(CC(=O)NC=3C=CC(OC)=CC3)C,0
CCCC=1SC2=C(C1)[C@H]3[C@H](NC2)CCC=4C3=CC(=C(C4)O)O,1
S(=O)(=O)(N1CCOCC1)C=2C=C(NCC(=O)NC=3C=CC(OC)=CC3)C(NCC4OCCC4)=CC2,0
C1(=CC(=O)C=2C(O1)=CC=C(OCCCCN3CCC(CC3)O)C2)C4=CC=CC=C4,1
ClC1=CC=C(C2N(C(=O)CC=3C2=CC(OC)=C(OC)C3)C4=CC(F)=C(C=C4)C)C=C1,0
FC(F)(F)C=1C=C(C2CCN(CC2)CCC)C=CC1,1
C1N(C)[C@H]2C=3C(=CC(C4=CC=CC5=C4OC6=C5C=CC=C6)=CC3C7=C(C(=CC=C7C2)O)O)C1,1
S1C(C2=CC=C(OCC)C=C2)=CC(NC(=O)NC3=CC(=CC=C3)C(=O)C)=C1C(OC)=O,0
C=1(C=CSC1)C(OC2=C3C(=CC=C2)C=CC=C3)CCN4CCN(CC4)C=5C(=CC=CC5)OC,1
IC1=CC=C(N2CCN(CC2)CCNC[C@@H]3OC=4C(CC3)=CC=C(O)C4)C=C1,1
C(C1=CC=C(C=C1)F)(CC2CCN(CC3CC3)CC2)=O,1
O=C(NNC(OCC)=O)C1CCC(CC1)C,0
FC=1C(CNC(=O)C=2N(C3=C(OC=4C3=CC=CC4)C2)C)=CC=CC1,0
S(CC(=O)C1=C(N(C(COC)C)C(=C1)C)C)C2=NC=CC=N2,0
FC1=CC=2C(CCCN3CCN(CC3)C=4C=5O[C@@H](C(=O)NC5C=CC4)C)=CNC2C=C1,1
C1(N2C(CN(CC2)CCCCN3C(CC4(CC3=O)CCCC4)=O)C)=NSC=5C1=CC=CC5,1
O1C2=NNC(=C2C3(C=4C(N(C3=O)C(=O)C)=CC=CC4)C(C1=N)C#N)C5=NC=CC=C5,0
C=12O[C@@H](C)C(NC1C=CC=C2N3CCN(CC3)CCCC=4C=5C(=CC=C(C5)F)NC4)=O,1
S(C=1N=C(N)C(=C(C1C#N)C=2OC=CC2)C#N)CC,0
C=1C=C(OC2CC2)C(C3CCN([C@@H]4CC[C@H](CC4)NS(C5=CC(=C(C=C5)OC)OC)(=O)=O)CC3)=CC1,1
S1(N(C=2C=CC=CC2C1)CCCN3CCN(CC3)CC4=CC=C(C=C4)Cl)(=O)=O,1
O1C2C(NCC1)CCC=3C2=C(OC)C=CC3OC,0
S(CC(=O)NCC1=CC(=CC=C1)C(F)(F)F)CC(=O)NC=2C=CC(=CC2)C,0
C1=2N(CC(N3CCN(CC3)CCO)C=4C(S1)=CC=C(F)C4)C=CC2,1
S1C=C(N=C1)C=2C=C(NC(=O)C3CCN(CC3)CC4=CN(N=C4)C)C=CC2,0
C1=CC(=C(C=C1)OC)N2CCN(CCC2)CCCCNC(C=3C=CC(=CC3)N(C)C)=O,1
OC=1NC2=C(C(CCN(CCC)CCC)=CC=C2)C1,1
C1(=CC=C(C(=C1)F)C2CCN(CC2)CC=3N(C=4C(N3)=NC=CC4)C)C(F)(F)F,1
BrC1=CC=2N(C(=C(C2C(CN(C)C)=C1O)C(OCC)=O)CSC=3SC=CC3)C,0
ClC1=CC=C(N2N=CC(COCCCN3CCN(CC3)C4=CC=CC=C4)=C2)C=C1,1
FC=1C=C2C(N3CCN(CC3)CCCCOC4=CC=5C(=CNC5O)C=C4)=CC=CC2=CC1F,1
ON1C(=O)C=2C(N=C1N/N=C/C3=C(C=CC=C3)C)=CC=CC2,0
C=12C=3C(=CNC3C=CC1CC[C@H](C2)N(C)C)C=O,1
N1(C(C2=C(N=CO2)C)=NN=C1SCCCN3CCC4(CCCC5=C4C=CC(=C5)OC)C3)C,1
S(=O)(=O)(NC=1SC=CN1)C=2C=CC(NC(O)C3=CN(C(O)=C3)C4=CC=C(OC)C=C4)=CC2,0
ClC1=CC=2NC(N3CCN(CC3)CCCNC(=O)CCCCCCCCC(=O)NCCCN4CCN(CC4)C=5NC6=C(N=C7C5C=CC=C7)C=CC(Cl)=C6)=C8C(=NC2C=C1)C=CC=C8,1
N1(C(SCC1=O)(C)C)CCCCN2CCN(CC2)C3=C(OC)C=CC=C3,1
C=1(Cl)C(=CC2=C(CCN(C)[C@@H]3[C@@H]2C=4C(CC3)=C(C=CC4)/C=N/OC5=CC=CC=C5)C1)O,1
FC=1C(N2CCN(CC2)C3=NC(=C(C(O)=N3)CC)C)=CC=CC1,0
ClC1=CC=C(C=2C=3C(=O)N(CC(=O)N4CCOCC4)C=NC3SC2)C=C1,0
S(CC(=O)NC=1SC(=CN1)C)C=2OC(=NN2)COC3=C(C=CC=C3C)C,0
C12=C(C(N3CCN(CC3)CCO)CC1C4=CC=C(C=C4)F)C=CC(C(F)(F)F)=C2,1
O=C(N1CCN(CC1)C=2C(OC)=CC=CC2)C(CC)C3=CC=CC=C3,0
ClC1=CC(C(=O)NC2C(OC)CN(CC2)CCCOC3=CC=C(F)C=C3)=C(OC)C=C1N,1
O(C1=CC=C(CCNC(=O)C=2N(N=C(C2)C)C3=CC=CC=C3)C=C1)CC,0
S(CC(=O)NC1CCCCC1)C=2OC(=NN2)C3=C(OC=C3)C,0
C(N1CCCCC1)(C2=CC(C(N3CCN(CC3)C4=C(OC(C)C)C=CC=C4)C)=CC=C2)=O,1
C1(=O)CCC=2C(N1)=CC(=CC2)OCCCCN3CCN(CC3)C4=CC=CC=C4OCCF,1
S=C1N(C(=O)C=2OC=3C(C2N1)=CC=CC3)C4=CC=CC=C4,0
ClC1=CC=2N(C(=O)CCN3CCN(CC3)C)C=4C(SC2C=C1)=CC=CC4,0
BrC1=CC=2C(O)(N(C3=CC(=C(C=C3)C)C)C(=O)NC2C=C1)C(=O)NCCCOCC,0
C12=C(N(C3=CC=C(C=C3)F)C=4C1=CC(=CC4)F)CCN(C2)CCC5=CC=NC=C5,1
C=12C3=C(C=CC=C3NC1C)[C@@H]4[C@@H](C2)N(C[C@@H](NC(C(C)(C)C)=O)C4)C,1
S(=O)(=O)(NCC(=O)N(CC1OCCC1)C(CCC)C(=O)NC(CC)(C)C)C2=CC=C(F)C=C2,0
ClC=1C=C(N2N=C(C3=C2OC(=O)C=C3C)C)C=CC1,0
O1C(=NC2=NC=CC=C12)C=3C(O)=CC(N)=CC3,0
C1(=C(C(OC)=CC(=C1)Br)OC)C(=O)NCCCCN2CC=3C=C(OC)C(=CC3CC2)OC,1
S=C(NC1=C(N2CCOCC2)C=CC=C1)NCCC3=CC=CC=C3,0
C1CN(CC2CCCCN2C)C(=O)N1C=3C=CC=C(C3)Cl,1
