SMILES,pIC50
N(CCCOC1=CC=CC=C1)CCOC2=CC=CC=C2,6.6
N1(CC=2C=CC=CC2)CCC(COC3=CC=C(Cl)C=C3)CC1,5.38
C1N(C=2C=CC=C(C2)Cl)C(=O)N(CC3CCCCN3)C1,9.2
C=12C=3C(=CNC3C=CC1CCC(C2)NCCC)C=O,7.22
O(C1=C2C=C(O)NC2=CC=C1)CCNCC3=CC=CC=C3,8.37161
N1C(=CC=2C1=CC=CC2OCCNCC3=CC=CC=C3)O,9.68
O=S(=O)(C=1C(=CC=CC1)N2CCN(CC2)CCC)C,6.24
C1(C2=C(CCC=3C1=CC=CC3)C=CC=C2)=CCCN(C)C,6.71
N1(CCC=2C=C(Cl)C(=CC2)Cl)CCN(CC1)CCC,5.54
C=12NC=3C=CC=CC3C1CCNC2CC=4C=C5OCOC5=CC4,5.34
C1=2OC(CNC(C)C)CCC1=CC=C(C2)O,7.24
C=12C3C(N(CCC)CCC3)CCC1C=CC(=C2)O,7.6
C1=2C(CN(CCC1=CC(=C(C2)O)O)C)C=3C=CC=CC3,5.72
C1=2C(NC(=C1)O)=C(Cl)C=CC2OCCNCC3=CSC=C3,9.62
C1(=CC(OCCNCC2=CC=CC=C2)=CC=C1Cl)N,6.63
C=12C3C(N(C)CCC3)CCC1C=CC(=C2)O,6.58
O(CCN1CCCC1)C=2C(C(O)C3=CC=CC=C3)=CC=CC2,5.20204
C1C2=C3C(=CC=C2)NC=C3CC4=C(C=CC=C4)CCN(C)C1,8.4
C1=2C=3N(N=CC3CCC1=C(C)SC2C)C,6.34
N(C1C2C3C4C2CC5C4CC3C51)(CCC6=CC=CC=C6)C,5.29277
O(CCCNCCOC1=CC=C(C=C1)C)C2=CC=CC=C2,6.57001
N1(CC2CC2)CCC(COC3=CC=C(C(=O)C)C=C3)CC1,6.27
ClC1=CC=C(C2(O)CCNCC2)C=C1,5.04144
O1C2=C(C=CC=C2)CCC1CNCCCOC=3C=C(N)C=CC3,7.47
C=12C=3C(=CNC3C=CC1CCC(C2)N(CCC)C)C=O,6.82
C1=2C=3N(N=CC3CCCC1=C(C)SC2C)CC,6.4
C12CC=3C=CC=C(C3CC1CCCN2CC#C)O,5.29
C1=2C3C(N(CCCC)CCC3)CCC1=CC=C(C2)OC,5.42
O(C=1C(N2CCN(CC2)CC3=CC=CC=C3)=CC=CC1)CC,6.66354
S1C(=NC=2C1=CC=CC2)CCCCN3CC=4C(C3)=CC=CC4,6.00436
C=1(C=2C(=CC=CC2)C=CC1)C3CNCC3,6.58
[C@H]1(N(C(C)C)CCC)CC2=CC=CC(=C2CC1)F,5.82
N12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)CC(O2)CNC,5.77
O(CCNCCCOC1=CC=CC=C1)C2=CC(=C(C=C2)C)C,6.84001
C1(=CC=C2C(=C1O)CCC(C2)N(CCC)CCC)O,9.15
C1(=CC=C2C(=C1O)CCC(C2)N(CCC)CCC)O,8.52
N1(C[C@H](C2=CC(N)=CC=C2)CCC1)CCC,5.7
C=12C=C(C(=CC1CCNCC2C=3C=CC=CC3)Br)O,5.24
C1=2OC(CN(CC3=CC=CC=C3)C)CCC1=CC=C(C2)O,8.32
C(C1=CC=CC=C1)(C=2C=CC=CC2)(O)CCCN3CCCCC3,5.96
C1(=CC2=C(C=C1)CC3=C(CCN(CC2)C)C=CC=C3)O,7.76
C12=C3C(=CNC3=CC=C1CCC(C2)N(CCC)CCC)C#N,7.62
C1(=CCN(CC1)CCC#CC=2N=CC=CC2)C3=CC=CC=C3,6.87
ClC1=CC=C(N2CCN(CC2)CCCC3=CC=CC=C3)C=C1,6.18046
C1=2C(NC(=C1)O)=C(F)C=CC2OCCNCC=3C=CC=CC3,9.2
C1=2C([C@H](CN)OC3(C1)CCCCC3)=CC=C(C2O)O,5.33
OC=1C=C2CC(N(CC)C)CCC2=CC1,8.60206
N1(CCN(CCC2=CC(Cl)=C(C=C2)Cl)CC)CCCC1,5.78
S1C=2C=C3CCN(CCC3=CC2N=C1N)CC=4OC=NC4,6.49485
C1=2C=3N(N=CC3CCCC1=C(C)SC2C)CCC,6.05
[C@H]12[C@H](N(CC=C)CC1)CCC3=C2C(O)=CC=C3,6.82
[C@H]12[C@H](N(CC=C)CC1)CCC3=C2C(O)=CC=C3,6.82
[C@@H]12[C@H](N(CC=C)CC1)CCC3=C2C(O)=CC=C3,7.6
C12C(N(CC=C)CC1)CCC3=C2C(O)=CC=C3,7.6
C12=C(C3=CC=CC=C3N1)CCN(C2)CCCC=4C=NC=CC4,5.57
C1(CC1C)CN2CCC(COC=3C=CC(=CC3)F)CC2,6.02
O1C2=C(C=CC=C2O)CC(C1)N(C/C=C/I)CCC,7.97
C1=2OC(CNCCCOC=3C=CC=CC3)CCC1=CC=C(C2)O,9.3
N1(CC=2C=CC=CC2)CCC(CC1)OCCCC3=CC=CC=C3,5.09
C=1(F)C=CC(=CC1)OCCCNCCOC2=CC=C(C=C2)C,6.41
N(C=1C=CC(=CC1)OCCNCCCOC=2C=CC=CC2)(=O)=O,5.85
C12=C(NC=3C1=CC=CC3)CC4N(C2CC4)CC5=CC=CC=C5,5.44
C=12[C@@H]3[C@H](N(CCC)CCO3)COC1C(O)=CC=C2,5.53
S(=NC1=CC(OCCNCC=2SC=CC2)=CC=C1Cl)(O)(=O)C,8.05
S(=NC1=CC(OCCNCC=2SC=CC2)=CC=C1Cl)(O)(=O)C,8.59
S1C=C(N=C1N)C=2CN(CCCCCCC)CCC2,5.66354
[C@@H]12C3=C(C(O)=CC=C3)CC[C@H]1N(CCC)CCO2,7.12
N1(CCC(CC1)C=2C=CC=CC2)CCCC3=CC=CC=C3,6.47
C12=C3C(=CC=CN3N=C1)CC(C2)N(CCC)CCC,6.59
C1CN(CCN2CCCCCC2)C(=O)N1C=3C=CC=CC3,9.2
C1(=NC=2C(OCCNCC3=CC=CC=C3)=CC=CC2N1)O,8.41
C1(=NC=2C(OCCNCC3=CC=CC=C3)=CC=CC2N1)O,9.74
O(C1=C2NC(O)=NC2=CC=C1)CCNCC3=CC=CC=C3,8.40894
O(C1=C2NC(O)=NC2=CC=C1)CCNCC3=CC=CC=C3,9.74473
C12=C(NN=C1)CCC(C2)N(CCC=3SC=CC3)CCC,6.8
S1C(CCN(C2CCC3=NNC=C3C2)CCC)=CC=C1,6.79588
